aircraft_model,registration,delivered,config,ife,wifi,power,J,F,PP,E+,Y,aircraft_image,aircraft_seatmap
Airbus A321neo,N14502,2023,20F/57E+/123Y,AVOD,ViaSatKA,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14503,2024,20F/57E+/123Y,AVOD,ViaSatKA,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14504,2024,20F/57E+/123Y,AVOD,ViaSatKA,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N24505,2023,20F/57E+/123Y,AVOD,ViaSatKA,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14506,2024,20F/57E+/123Y,AVOD,ViaSatKA,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14507,2024,20F/57E+/123Y,AVOD,ViaSatKA,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N24508,2024,20F/57E+/123Y,AVOD,Starlink,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14509,2024,20F/57E+/123Y,AVOD,Starlink,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N24510,2024,20F/57E+/123Y,AVOD,ViaSatKA,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14511,2024,20F/57E+/123Y,AVOD,ViaSatKA,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14512,2024,20F/57E+/123Y,AVOD,Starlink,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N24513,2024,20F/57E+/123Y,AVOD,Starlink,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N24514,2024,20F/57E+/123Y,AVOD,Starlink,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14515,2024,20F/57E+/123Y,AVOD,Starlink,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N24516,2024,20F/57E+/123Y,AVOD,Starlink,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14517,2024,20F/57E+/123Y,AVOD,Starlink,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14518,2024,20F/57E+/123Y,AVOD,Starlink,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N24519,2024,20F/57E+/123Y,AVOD,ViaSatKA,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14520,2024,20F/57E+/123Y,AVOD,Starlink,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14521,2024,20F/57E+/123Y,AVOD,Starlink,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N44522,2024,20F/57E+/123Y,AVOD,ViaSatKA,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14523,2024,20F/57E+/123Y,AVOD,ViaSatKA,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
Airbus A321neo,N14524,2025,20F/57E+/123Y,AVOD,ViaSatKA,110/USB,NA,20,NA,57,123,https://media.united.com/assets/m/7c9ce478782db0ed/original/Airbus-A319-2x.png,https://media.united.com/assets/m/5f1be20d804eac0b/original/0043-A-Airbus-321-NEO_SeatMap_3850x1100.jpg
